,movie_title,title_year,country,budget,director_first_name,director_last_name
103,The Hunger Games: Mockingjay - Part 2 ,2015,USA,160000000,Francis,Lawrence
104,The Sorcerer's Apprentice ,2010,USA,150000000,Jon,Turteltaub
105,Poseidon ,2006,USA,160000000,Wolfgang,Petersen
106,Alice Through the Looking Glass ,2016,USA,170000000,James,Bobin
107,Shrek the Third ,2007,USA,160000000,Chris,Miller
108,Warcraft ,2016,USA,160000000,Duncan,Jones
109,Terminator Genisys ,2015,USA,155000000,Alan,Taylor
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,USA,155000000,Michael,Apted
111,Pearl Harbor ,2001,USA,140000000,Michael,Bay
112,Transformers ,2007,USA,150000000,Michael,Bay
113,Alexander ,2004,Germany,155000000,Oliver,Stone
114,Harry Potter and the Order of the Phoenix ,2007,UK,150000000,David,Yates
115,Harry Potter and the Goblet of Fire ,2005,UK,150000000,Mike,Newell
116,Hancock ,2008,USA,150000000,Peter,Berg
117,I Am Legend ,2007,USA,150000000,Francis,Lawrence
118,Charlie and the Chocolate Factory ,2005,USA,150000000,Tim,Burton
119,Ratatouille ,2007,USA,150000000,Brad,Bird
120,Batman Begins ,2005,USA,150000000,Christopher,Nolan
121,Madagascar: Escape 2 Africa ,2008,USA,150000000,Eric,Darnell
122,Night at the Museum: Battle of the Smithsonian ,2009,USA,150000000,Shawn,Levy
123,X-Men Origins: Wolverine ,2009,USA,150000000,Gavin,Hood
124,The Matrix Revolutions ,2003,Australia,150000000,Lana,Wachowski
125,Frozen ,2013,USA,150000000,Chris,Buck
126,The Matrix Reloaded ,2003,USA,150000000,Lana,Wachowski
127,Thor: The Dark World ,2013,USA,170000000,Alan,Taylor
128,Mad Max: Fury Road ,2015,Australia,150000000,George,Miller
129,Angels & Demons ,2009,USA,150000000,Ron,Howard
130,Thor ,2011,USA,150000000,Kenneth,Branagh
131,Bolt ,2008,USA,150000000,Byron,Howard
132,G-Force ,2009,USA,150000000,Hoyt,Yeatman
133,Wrath of the Titans ,2012,USA,150000000,Jonathan,Liebesman
134,Dark Shadows ,2012,USA,100000000,Tim,Burton
135,Mission: Impossible - Rogue Nation ,2015,China,150000000,Christopher,McQuarrie
136,The Wolfman ,2010,USA,150000000,Joe,Johnston
137,The Legend of Tarzan ,2016,USA,180000000,David,Yates
138,Bee Movie ,2007,USA,150000000,Steve,Hickner
139,Kung Fu Panda 2 ,2011,USA,150000000,Jennifer,Yuh Nelson
140,The Last Airbender ,2010,USA,150000000,M.,Night Shyamalan
141,Mission: Impossible III ,2006,USA,150000000,J.J.,Abrams
142,White House Down ,2013,USA,150000000,Roland,Emmerich
143,Mars Needs Moms ,2011,USA,150000000,Simon,Wells
144,Flushed Away ,2006,UK,149000000,David,Bowers
145,Pan ,2015,USA,150000000,Joe,Wright
146,Mr. Peabody & Sherman ,2014,USA,145000000,Rob,Minkoff
147,Troy ,2004,USA,175000000,Wolfgang,Petersen
148,Madagascar 3: Europe's Most Wanted ,2012,USA,145000000,Eric,Darnell
149,Die Another Day ,2002,UK,142000000,Lee,Tamahori
150,Ghostbusters ,2016,USA,144000000,Paul,Feig
151,Armageddon ,1998,USA,140000000,Michael,Bay
152,Men in Black II ,2002,USA,140000000,Barry,Sonnenfeld
153,Beowulf ,2007,USA,150000000,Robert,Zemeckis
154,Kung Fu Panda 3 ,2016,USA,145000000,Alessandro,Carloni
155,Mission: Impossible - Ghost Protocol ,2011,USA,145000000,Brad,Bird
156,Rise of the Guardians ,2012,USA,145000000,Peter,Ramsey
157,Fun with Dick and Jane ,2005,USA,100000000,Dean,Parisot
158,The Last Samurai ,2003,USA,140000000,Edward,Zwick
159,Exodus: Gods and Kings ,2014,UK,140000000,Ridley,Scott
160,Star Trek ,2009,USA,150000000,J.J.,Abrams
161,Spider-Man ,2002,USA,139000000,Sam,Raimi
162,How to Train Your Dragon 2 ,2014,USA,145000000,Dean,DeBlois
163,Gods of Egypt ,2016,USA,140000000,Alex,Proyas
164,Stealth ,2005,USA,135000000,Rob,Cohen
165,Watchmen ,2009,USA,130000000,Zack,Snyder
166,Lethal Weapon 4 ,1998,USA,140000000,Richard,Donner
167,Hulk ,2003,USA,137000000,Ang,Lee
168,G.I. Joe: Retaliation ,2013,USA,130000000,Jon,M. Chu
169,Sahara ,2005,UK,130000000,Breck,Eisner
170,Final Fantasy: The Spirits Within ,2001,USA,137000000,Hironobu,Sakaguchi
171,Captain America: The First Avenger ,2011,USA,140000000,Joe,Johnston
172,The World Is Not Enough ,1999,UK,135000000,Michael,Apted
173,Master and Commander: The Far Side of the World ,2003,USA,150000000,Peter,Weir
174,The Twilight Saga: Breaking Dawn - Part 2 ,2012,USA,120000000,Bill,Condon
175,Happy Feet 2 ,2011,Australia,135000000,George,Miller
176,The Incredible Hulk ,2008,USA,150000000,Louis,Leterrier
178,The BFG ,2016,UK,140000000,Steven,Spielberg
179,The Revenant ,2015,USA,135000000,Alejandro,G. Iñárritu
180,Turbo ,2013,USA,135000000,David,Soren
181,Rango ,2011,USA,135000000,Gore,Verbinski
182,Penguins of Madagascar ,2014,USA,132000000,Eric,Darnell
183,The Bourne Ultimatum ,2007,USA,110000000,Paul,Greengrass
184,Kung Fu Panda ,2008,USA,130000000,Mark,Osborne
185,Ant-Man ,2015,USA,130000000,Peyton,Reed
186,The Hunger Games: Catching Fire ,2013,USA,130000000,Francis,Lawrence
187,The Twilight Saga: Breaking Dawn - Part 2 ,2012,USA,120000000,Bill,Condon
188,Home ,2015,USA,135000000,Tim,Johnson
189,War of the Worlds ,2005,USA,132000000,Steven,Spielberg
190,Bad Boys II ,2003,USA,130000000,Michael,Bay
191,Puss in Boots ,2011,USA,130000000,Chris,Miller
192,Salt ,2010,USA,110000000,Phillip,Noyce
193,Noah ,2014,USA,125000000,Darren,Aronofsky
194,The Adventures of Tintin ,2011,USA,135000000,Steven,Spielberg
195,Harry Potter and the Prisoner of Azkaban ,2004,UK,130000000,Alfonso,Cuarón
196,Australia ,2008,Australia,130000000,Baz,Luhrmann
197,After Earth ,2013,USA,130000000,M.,Night Shyamalan
198,Dinosaur ,2000,USA,127500000,Eric,Leighton
200,Night at the Museum: Secret of the Tomb ,2014,USA,127000000,Shawn,Levy
201,Megamind ,2010,USA,130000000,Tom,McGrath
202,Harry Potter and the Sorcerer's Stone ,2001,UK,125000000,Chris,Columbus
203,R.I.P.D. ,2013,USA,130000000,Robert,Schwentke
205,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,USA,140000000,Gore,Verbinski
207,The Hunger Games: Mockingjay - Part 1 ,2014,USA,125000000,Francis,Lawrence
208,The Da Vinci Code ,2006,USA,125000000,Ron,Howard
209,Rio 2 ,2014,USA,103000000,Carlos,Saldanha
210,X-Men 2 ,2003,Canada,110000000,Bryan,Singer
211,Fast Five ,2011,USA,125000000,Justin,Lin
212,Sherlock Holmes: A Game of Shadows ,2011,USA,125000000,Guy,Ritchie
213,Clash of the Titans ,2010,USA,125000000,Louis,Leterrier
214,Total Recall ,1990,USA,65000000,Paul,Verhoeven
215,The 13th Warrior ,1999,USA,85000000,John,McTiernan
216,The Bourne Legacy ,2012,USA,125000000,Tony,Gilroy
217,Batman & Robin ,1997,USA,125000000,Joel,Schumacher
218,How the Grinch Stole Christmas ,2000,USA,123000000,Ron,Howard
219,The Day After Tomorrow ,2004,USA,125000000,Roland,Emmerich
220,Mission: Impossible II ,2000,USA,125000000,John,Woo
221,The Perfect Storm ,2000,USA,140000000,Wolfgang,Petersen
222,Fantastic 4: Rise of the Silver Surfer ,2007,USA,130000000,Tim,Story
223,Life of Pi ,2012,USA,120000000,Ang,Lee
224,Ghost Rider ,2007,USA,110000000,Mark,Steven Johnson
225,Jason Bourne ,2016,UK,120000000,Paul,Greengrass
226,Charlie's Angels: Full Throttle ,2003,USA,120000000,McG,
227,Prometheus ,2012,USA,130000000,Ridley,Scott
228,Stuart Little 2 ,2002,USA,120000000,Rob,Minkoff
229,Elysium ,2013,USA,115000000,Neill,Blomkamp
230,The Chronicles of Riddick ,2004,USA,105000000,David,Twohy
231,RoboCop ,2014,USA,100000000,José,Padilha
232,Speed Racer ,2008,USA,120000000,Lana,Wachowski
233,How Do You Know ,2010,USA,120000000,James,L. Brooks
234,Knight and Day ,2010,USA,117000000,James,Mangold
235,Oblivion ,2013,USA,120000000,Joseph,Kosinski
236,Star Wars: Episode III - Revenge of the Sith ,2005,USA,113000000,George,Lucas
237,Star Wars: Episode II - Attack of the Clones ,2002,USA,115000000,George,Lucas
238,"Monsters, Inc. ",2001,USA,115000000,Pete,Docter
239,The Wolverine ,2013,USA,120000000,James,Mangold
240,Star Wars: Episode I - The Phantom Menace ,1999,USA,115000000,George,Lucas
241,The Croods ,2013,USA,135000000,Kirk,De Micco
243,Windtalkers ,2002,USA,115000000,John,Woo
244,The Huntsman: Winter's War ,2016,USA,115000000,Cedric,Nicolas-Troyan
245,Teenage Mutant Ninja Turtles ,2014,USA,125000000,Jonathan,Liebesman
246,Gravity ,2013,UK,100000000,Alfonso,Cuarón
247,Dante's Peak ,1997,USA,116000000,Roger,Donaldson
249,Fantastic Four ,2015,USA,120000000,Josh,Trank
250,Night at the Museum ,2006,USA,110000000,Shawn,Levy
251,San Andreas ,2015,USA,110000000,Brad,Peyton
252,Tomorrow Never Dies ,1997,UK,110000000,Roger,Spottiswoode
253,The Patriot ,2000,USA,110000000,Roland,Emmerich
254,Ocean's Twelve ,2004,USA,110000000,Steven,Soderbergh
255,Mr. & Mrs. Smith ,2005,USA,120000000,Doug,Liman
256,Insurgent ,2015,USA,110000000,Robert,Schwentke
257,The Aviator ,2004,USA,110000000,Martin,Scorsese
258,Gulliver's Travels ,2010,USA,112000000,Rob,Letterman
259,The Green Hornet ,2011,USA,120000000,Michel,Gondry
261,300: Rise of an Empire ,2014,USA,110000000,Noam,Murro
262,The Smurfs ,2011,USA,110000000,Raja,Gosnell
263,Home on the Range ,2004,USA,110000000,Will,Finn
264,Allegiant ,2016,USA,110000000,Robert,Schwentke
265,Real Steel ,2011,USA,110000000,Shawn,Levy
266,The Smurfs 2 ,2013,USA,105000000,Raja,Gosnell
267,Speed 2: Cruise Control ,1997,USA,160000000,Jan,de Bont
268,Ender's Game ,2013,USA,110000000,Gavin,Hood
269,Live Free or Die Hard ,2007,USA,110000000,Len,Wiseman
270,The Lord of the Rings: The Fellowship of the Ring ,2001,New Zealand,93000000,Peter,Jackson
271,Around the World in 80 Days ,2004,USA,110000000,Frank,Coraci
272,Ali ,2001,USA,107000000,Michael,Mann
273,The Cat in the Hat ,2003,USA,109000000,Bo,Welch
274,"I, Robot ",2004,USA,120000000,Alex,Proyas
275,Kingdom of Heaven ,2005,USA,130000000,Ridley,Scott
276,Stuart Little ,1999,Germany,133000000,Rob,Minkoff
277,The Princess and the Frog ,2009,USA,105000000,Ron,Clements
278,The Martian ,2015,USA,108000000,Ridley,Scott
280,The Island ,2005,USA,126000000,Michael,Bay
281,Town & Country ,2001,New Line,90000000,Peter,Chelsom
282,Gone in Sixty Seconds ,2000,USA,90000000,Dominic,Sena
283,Gladiator ,2000,USA,103000000,Ridley,Scott
284,Minority Report ,2002,USA,102000000,Steven,Spielberg
285,Harry Potter and the Chamber of Secrets ,2002,UK,100000000,Chris,Columbus
286,Casino Royale ,2006,UK,150000000,Martin,Campbell
287,Planet of the Apes ,2001,USA,100000000,Tim,Burton
288,Terminator 2: Judgment Day ,1991,USA,102000000,James,Cameron
289,Public Enemies ,2009,USA,100000000,Michael,Mann
290,American Gangster ,2007,USA,100000000,Ridley,Scott
291,True Lies ,1994,USA,115000000,James,Cameron
292,The Taking of Pelham 1 2 3 ,2009,USA,100000000,Tony,Scott
293,Little Fockers ,2010,USA,100000000,Paul,Weitz
294,The Other Guys ,2010,USA,100000000,Adam,McKay
295,Eraser ,1996,USA,100000000,Chuck,Russell
296,Django Unchained ,2012,USA,100000000,Quentin,Tarantino
297,The Hunchback of Notre Dame ,1996,USA,100000000,Gary,Trousdale
298,The Emperor's New Groove ,2000,USA,100000000,Mark,Dindal
299,The Expendables 2 ,2012,USA,92000000,Simon,West
300,National Treasure ,2004,USA,100000000,Jon,Turteltaub
301,Eragon ,2006,USA,100000000,Stefen,Fangmeier
302,Where the Wild Things Are ,2009,Germany,100000000,Spike,Jonze
303,Pan ,2015,USA,150000000,Joe,Wright
304,Epic ,2013,USA,100000000,Chris,Wedge
305,The Tourist ,2010,USA,100000000,Florian,Henckel von Donnersmarck
306,End of Days ,1999,USA,83000000,Peter,Hyams
307,Blood Diamond ,2006,Germany,100000000,Edward,Zwick
308,The Wolf of Wall Street ,2013,USA,100000000,Martin,Scorsese
309,Batman Forever ,1995,USA,100000000,Joel,Schumacher
310,Starship Troopers ,1997,USA,105000000,Paul,Verhoeven
311,Cloud Atlas ,2012,Germany,102000000,Tom,Tykwer
312,Legend of the Guardians: The Owls of Ga'Hoole ,2010,USA,80000000,Zack,Snyder
313,Catwoman ,2004,USA,100000000,Pitof,
314,Hercules ,2014,USA,100000000,Brett,Ratner
315,Treasure Planet ,2002,USA,140000000,Ron,Clements
316,Land of the Lost ,2009,USA,100000000,Brad,Silberling
317,The Expendables 3 ,2014,USA,90000000,Patrick,Hughes
318,Point Break ,2015,USA,105000000,Ericson,Core
319,Son of the Mask ,2005,USA,84000000,Lawrence,Guterman
320,In the Heart of the Sea ,2015,USA,100000000,Ron,Howard
321,The Adventures of Pluto Nash ,2002,USA,100000000,Ron,Underwood
322,Green Zone ,2010,France,100000000,Paul,Greengrass
323,The Peanuts Movie ,2015,USA,99000000,Steve,Martino
324,The Spanish Prisoner ,1997,USA,10000000,David,Mamet
325,The Mummy Returns ,2001,USA,98000000,Stephen,Sommers
326,Gangs of New York ,2002,USA,100000000,Martin,Scorsese
327,The Flowers of War ,2011,China,94000000,Yimou,Zhang
328,Surf's Up ,2007,USA,100000000,Ash,Brannon
329,The Stepford Wives ,2004,USA,90000000,Frank,Oz
330,Black Hawk Down ,2001,USA,92000000,Ridley,Scott
331,The Campaign ,2012,USA,95000000,Jay,Roach
332,The Fifth Element ,1997,France,93000000,Luc,Besson
333,Sex and the City 2 ,2010,USA,100000000,Michael,Patrick King
334,The Road to El Dorado ,2000,USA,95000000,Bibo,Bergeron
335,Ice Age: Continental Drift ,2012,USA,95000000,Steve,Martino
336,Cinderella ,2015,USA,95000000,Kenneth,Branagh
337,The Lovely Bones ,2009,USA,65000000,Peter,Jackson
338,Finding Nemo ,2003,USA,94000000,Andrew,Stanton
339,The Lord of the Rings: The Return of the King ,2003,USA,94000000,Peter,Jackson
340,The Lord of the Rings: The Two Towers ,2002,USA,94000000,Peter,Jackson
341,Seventh Son ,2014,USA,95000000,Sergey,Bodrov
342,Lara Croft: Tomb Raider ,2001,USA,115000000,Simon,West
343,Transcendence ,2014,UK,100000000,Wally,Pfister
344,Jurassic Park III ,2001,USA,93000000,Joe,Johnston
345,Rise of the Planet of the Apes ,2011,USA,93000000,Rupert,Wyatt
346,The Spiderwick Chronicles ,2008,USA,90000000,Mark,Waters
347,A Good Day to Die Hard ,2013,USA,92000000,John,Moore
348,The Alamo ,2004,USA,107000000,John,Lee Hancock
349,The Incredibles ,2004,USA,92000000,Brad,Bird
350,Cutthroat Island ,1995,USA,98000000,Renny,Harlin
351,Percy Jackson & the Olympians: The Lightning Thief ,2010,UK,95000000,Chris,Columbus
352,Men in Black ,1997,USA,90000000,Barry,Sonnenfeld
353,Toy Story 2 ,1999,USA,90000000,John,Lasseter
354,Unstoppable ,2010,USA,100000000,Tony,Scott
355,Rush Hour 2 ,2001,USA,90000000,Brett,Ratner
356,What Lies Beneath ,2000,USA,100000000,Robert,Zemeckis
357,Cloudy with a Chance of Meatballs ,2009,USA,100000000,Phil,Lord
358,Ice Age: Dawn of the Dinosaurs ,2009,USA,90000000,Carlos,Saldanha
359,The Secret Life of Walter Mitty ,2013,USA,90000000,Ben,Stiller
360,Charlie's Angels ,2000,USA,92000000,McG,
361,The Departed ,2006,USA,90000000,Martin,Scorsese
362,Mulan ,1998,USA,90000000,Tony,Bancroft
363,Tropic Thunder ,2008,USA,92000000,Ben,Stiller
364,The Girl with the Dragon Tattoo ,2011,USA,90000000,David,Fincher
365,Die Hard with a Vengeance ,1995,USA,90000000,John,McTiernan
366,Sherlock Holmes ,2009,USA,90000000,Guy,Ritchie
368,Atlantis: The Lost Empire ,2001,USA,120000000,Gary,Trousdale
369,Alvin and the Chipmunks: The Road Chip ,2015,USA,90000000,Walt,Becker
370,Valkyrie ,2008,USA,75000000,Bryan,Singer
371,You Don't Mess with the Zohan ,2008,USA,90000000,Dennis,Dugan
372,Pixels ,2015,USA,88000000,Chris,Columbus
373,A.I. Artificial Intelligence ,2001,USA,100000000,Steven,Spielberg
374,The Haunted Mansion ,2003,USA,90000000,Rob,Minkoff
375,Contact ,1997,USA,90000000,Robert,Zemeckis
376,Hollow Man ,2000,USA,95000000,Paul,Verhoeven
377,The Interpreter ,2005,UK,80000000,Sydney,Pollack
378,Percy Jackson: Sea of Monsters ,2013,USA,90000000,Thor,Freudenthal
379,Lara Croft Tomb Raider: The Cradle of Life ,2003,USA,95000000,Jan,de Bont
380,Now You See Me 2 ,2016,USA,90000000,Jon,M. Chu
381,The Saint ,1997,USA,68000000,Phillip,Noyce
382,Spy Game ,2001,Germany,92000000,Tony,Scott
383,Mission to Mars ,2000,USA,90000000,Brian,De Palma
384,Rio ,2011,USA,90000000,Carlos,Saldanha
385,Bicentennial Man ,1999,USA,100000000,Chris,Columbus
386,Volcano ,1997,USA,90000000,Mick,Jackson
387,The Devil's Own ,1997,USA,86000000,Alan,J. Pakula
388,K-19: The Widowmaker ,2002,UK,100000000,Kathryn,Bigelow
389,Fantastic Four ,2015,USA,120000000,Josh,Trank
390,Conan the Barbarian ,1982,USA,20000000,John,Milius
391,Cinderella Man ,2005,USA,88000000,Ron,Howard
392,The Nutcracker in 3D ,2010,UK,90000000,Andrey,Konchalovskiy
393,Seabiscuit ,2003,USA,87000000,Gary,Ross
394,Twister ,1996,USA,92000000,Jan,de Bont
395,The Fast and the Furious ,2001,USA,38000000,Rob,Cohen
396,Cast Away ,2000,USA,90000000,Robert,Zemeckis
397,Happy Feet ,2006,USA,100000000,George,Miller
398,The Bourne Supremacy ,2004,USA,75000000,Paul,Greengrass
399,Air Force One ,1997,USA,85000000,Wolfgang,Petersen
400,Ocean's Eleven ,2001,USA,85000000,Steven,Soderbergh
401,The Three Musketeers ,2011,Germany,75000000,Paul,W.S. Anderson
402,Hotel Transylvania ,2012,USA,85000000,Genndy,Tartakovsky
403,Enchanted ,2007,USA,85000000,Kevin,Lima
405,Safe House ,2012,USA,85000000,Daniel,Espinosa
406,102 Dalmatians ,2000,USA,85000000,Kevin,Lima
407,Tower Heist ,2011,USA,75000000,Brett,Ratner
408,The Holiday ,2006,USA,85000000,Nancy,Meyers
409,Enemy of the State ,1998,USA,90000000,Tony,Scott
410,It's Complicated ,2009,USA,85000000,Nancy,Meyers
411,Ocean's Thirteen ,2007,USA,85000000,Steven,Soderbergh
412,Open Season ,2006,USA,85000000,Roger,Allers
413,Divergent ,2014,USA,85000000,Neil,Burger
414,Enemy at the Gates ,2001,USA,68000000,Jean-Jacques,Annaud
415,The Rundown ,2003,USA,85000000,Peter,Berg
416,Last Action Hero ,1993,USA,70000000,John,McTiernan
417,Memoirs of a Geisha ,2005,USA,85000000,Rob,Marshall
418,The Fast and the Furious: Tokyo Drift ,2006,USA,85000000,Justin,Lin
419,Arthur Christmas ,2011,UK,100000000,Sarah,Smith
420,Meet Joe Black ,1998,USA,90000000,Martin,Brest
421,Collateral Damage ,2002,USA,85000000,Andrew,Davis
423,Mirror Mirror ,2012,USA,85000000,Tarsem,Singh
424,Scott Pilgrim vs. the World ,2010,USA,60000000,Edgar,Wright
425,The Core ,2003,USA,60000000,Jon,Amiel
426,Nutty Professor II: The Klumps ,2000,USA,65000000,Peter,Segal
427,Scooby-Doo ,2002,USA,84000000,Raja,Gosnell
428,Dredd ,2012,UK,35000000,Pete,Travis
429,Click ,2006,USA,70000000,Frank,Coraci
431,Cats & Dogs: The Revenge of Kitty Galore ,2010,USA,85000000,Brad,Peyton
432,Jumper ,2008,USA,85000000,Doug,Liman
433,Hellboy II: The Golden Army ,2008,USA,85000000,Guillermo,del Toro
434,Zodiac ,2007,USA,65000000,David,Fincher
435,The 6th Day ,2000,USA,82000000,Roger,Spottiswoode
436,Bruce Almighty ,2003,USA,81000000,Tom,Shadyac
437,The Expendables ,2010,USA,80000000,Sylvester,Stallone
438,Mission: Impossible ,1996,USA,80000000,Brian,De Palma
439,The Hunger Games ,2012,USA,78000000,Gary,Ross
440,The Hangover Part II ,2011,USA,80000000,Todd,Phillips
441,Batman Returns ,1992,USA,80000000,Tim,Burton
442,Over the Hedge ,2006,USA,80000000,Tim,Johnson
443,Lilo & Stitch ,2002,USA,80000000,Dean,DeBlois
445,Deep Impact ,1998,USA,75000000,Mimi,Leder
446,RED 2 ,2013,USA,84000000,Dean,Parisot
447,The Longest Yard ,2005,USA,82000000,Peter,Segal
448,Alvin and the Chipmunks: Chipwrecked ,2011,USA,75000000,Mike,Mitchell
449,Grown Ups 2 ,2013,USA,80000000,Dennis,Dugan
450,Get Smart ,2008,USA,80000000,Peter,Segal
451,Something's Gotta Give ,2003,USA,80000000,Nancy,Meyers
